state,date,type,median,mean
Illinois,9/5/20,estimate,-0.009,-0.009
Illinois,9/6/20,estimate,-0.008,-0.008
Illinois,9/7/20,estimate,-0.007,-0.008
Illinois,9/8/20,estimate,-0.006,-0.007
Illinois,9/9/20,estimate,-0.005,-0.006
Illinois,9/10/20,estimate,-0.004,-0.005
Illinois,9/11/20,estimate,-0.003,-0.003
Illinois,9/12/20,estimate,-0.002,-0.002
Illinois,9/13/20,estimate,0,-0.001
Illinois,9/14/20,estimate,0.001,0.001
Illinois,9/15/20,estimate,0.002,0.002
Illinois,9/16/20,estimate,0.004,0.004
Illinois,9/17/20,estimate,0.006,0.006
Illinois,9/18/20,estimate,0.008,0.007
Illinois,9/19/20,estimate,0.009,0.009
Illinois,9/20/20,estimate,0.011,0.011
Illinois,9/21/20,estimate,0.013,0.013
Illinois,9/22/20,estimate,0.015,0.015
Illinois,9/23/20,estimate,0.017,0.017
Illinois,9/24/20,estimate,0.019,0.02
Illinois,9/25/20,estimate,0.021,0.022
Illinois,9/26/20,estimate,0.024,0.024
Illinois,9/27/20,estimate,0.026,0.026
Illinois,9/28/20,estimate,0.028,0.028
Illinois,9/29/20,estimate,0.03,0.03
Illinois,9/30/20,estimate,0.032,0.032
Illinois,10/1/20,estimate,0.034,0.034
Illinois,10/2/20,estimate,0.036,0.036
Illinois,10/3/20,estimate,0.037,0.038
Illinois,10/4/20,estimate,0.039,0.039
Illinois,10/5/20,estimate,0.04,0.041
Illinois,10/6/20,estimate,0.041,0.042
Illinois,10/7/20,estimate,0.042,0.043
Illinois,10/8/20,estimate,0.043,0.044
Illinois,10/9/20,estimate,0.044,0.044
Illinois,10/10/20,estimate,0.044,0.045
Illinois,10/11/20,estimate,0.045,0.045
Illinois,10/12/20,estimate,0.045,0.046
Illinois,10/13/20,estimate,0.045,0.046
Illinois,10/14/20,estimate,0.046,0.046
Illinois,10/15/20,estimate,0.046,0.046
Illinois,10/16/20,estimate,0.046,0.046
Illinois,10/17/20,estimate,0.046,0.046
Illinois,10/18/20,estimate,0.046,0.046
Illinois,10/19/20,estimate,0.047,0.046
Illinois,10/20/20,estimate,0.047,0.047
Illinois,10/21/20,estimate,0.047,0.047
Illinois,10/22/20,estimate,0.047,0.047
Illinois,10/23/20,estimate,0.047,0.047
Illinois,10/24/20,estimate based on partial data,0.048,0.048
Illinois,10/25/20,estimate based on partial data,0.048,0.048
Illinois,10/26/20,estimate based on partial data,0.049,0.049
Illinois,10/27/20,estimate based on partial data,0.049,0.049
Illinois,10/28/20,estimate based on partial data,0.049,0.05
Illinois,10/29/20,estimate based on partial data,0.05,0.051
Illinois,10/30/20,estimate based on partial data,0.051,0.051
Illinois,10/31/20,estimate based on partial data,0.051,0.052
Illinois,11/1/20,estimate based on partial data,0.051,0.052
Illinois,11/2/20,estimate based on partial data,0.051,0.053
Illinois,11/3/20,estimate based on partial data,0.051,0.053
Illinois,11/4/20,forecast,0.051,0.053
Illinois,11/5/20,forecast,0.051,0.053
Illinois,11/6/20,forecast,0.051,0.053
Illinois,11/7/20,forecast,0.051,0.053
Illinois,11/8/20,forecast,0.051,0.053
Illinois,11/9/20,forecast,0.051,0.053
Illinois,11/10/20,forecast,0.051,0.053
Illinois,11/11/20,forecast,0.051,0.053
Illinois,11/12/20,forecast,0.051,0.053
Illinois,11/13/20,forecast,0.051,0.053
Illinois,11/14/20,forecast,0.051,0.053
Illinois,11/15/20,forecast,0.051,0.053
Illinois,11/16/20,forecast,0.051,0.053
Illinois,11/17/20,forecast,0.051,0.053
Indiana,8/21/20,estimate,-0.002,-0.003
Indiana,8/22/20,estimate,-0.004,-0.004
Indiana,8/23/20,estimate,-0.005,-0.005
Indiana,8/24/20,estimate,-0.006,-0.007
Indiana,8/25/20,estimate,-0.007,-0.008
Indiana,8/26/20,estimate,-0.008,-0.009
Indiana,8/27/20,estimate,-0.009,-0.01
Indiana,8/28/20,estimate,-0.01,-0.01
Indiana,8/29/20,estimate,-0.01,-0.011
Indiana,8/30/20,estimate,-0.011,-0.011
Indiana,8/31/20,estimate,-0.011,-0.011
Indiana,9/1/20,estimate,-0.011,-0.011
Indiana,9/2/20,estimate,-0.011,-0.011
Indiana,9/3/20,estimate,-0.01,-0.011
Indiana,9/4/20,estimate,-0.009,-0.01
Indiana,9/5/20,estimate,-0.008,-0.009
Indiana,9/6/20,estimate,-0.007,-0.008
Indiana,9/7/20,estimate,-0.006,-0.007
Indiana,9/8/20,estimate,-0.005,-0.005
Indiana,9/9/20,estimate,-0.003,-0.003
Indiana,9/10/20,estimate,-0.001,-0.001
Indiana,9/11/20,estimate,0.001,0.001
Indiana,9/12/20,estimate,0.003,0.003
Indiana,9/13/20,estimate,0.005,0.005
Indiana,9/14/20,estimate,0.008,0.007
Indiana,9/15/20,estimate,0.01,0.01
Indiana,9/16/20,estimate,0.012,0.012
Indiana,9/17/20,estimate,0.015,0.015
Indiana,9/18/20,estimate,0.017,0.018
Indiana,9/19/20,estimate,0.02,0.02
Indiana,9/20/20,estimate,0.022,0.022
Indiana,9/21/20,estimate,0.024,0.025
Indiana,9/22/20,estimate,0.026,0.027
Indiana,9/23/20,estimate,0.028,0.029
Indiana,9/24/20,estimate,0.03,0.031
Indiana,9/25/20,estimate,0.032,0.033
Indiana,9/26/20,estimate,0.033,0.034
Indiana,9/27/20,estimate,0.034,0.035
Indiana,9/28/20,estimate,0.035,0.036
Indiana,9/29/20,estimate,0.036,0.037
Indiana,9/30/20,estimate,0.037,0.038
Indiana,10/1/20,estimate,0.037,0.038
Indiana,10/2/20,estimate,0.038,0.038
Indiana,10/3/20,estimate,0.038,0.038
Indiana,10/4/20,estimate,0.038,0.038
Indiana,10/5/20,estimate,0.037,0.038
Indiana,10/6/20,estimate,0.037,0.037
Indiana,10/7/20,estimate,0.037,0.037
Indiana,10/8/20,estimate,0.037,0.037
Indiana,10/9/20,estimate,0.036,0.036
Indiana,10/10/20,estimate,0.036,0.036
Indiana,10/11/20,estimate,0.035,0.035
Indiana,10/12/20,estimate,0.035,0.035
Indiana,10/13/20,estimate,0.035,0.035
Indiana,10/14/20,estimate,0.035,0.034
Indiana,10/15/20,estimate,0.035,0.034
Indiana,10/16/20,estimate,0.034,0.034
Indiana,10/17/20,estimate,0.034,0.034
Indiana,10/18/20,estimate,0.034,0.034
Indiana,10/19/20,estimate,0.035,0.035
Indiana,10/20/20,estimate based on partial data,0.035,0.035
Indiana,10/21/20,estimate based on partial data,0.035,0.035
Indiana,10/22/20,estimate based on partial data,0.035,0.036
Indiana,10/23/20,estimate based on partial data,0.036,0.036
Indiana,10/24/20,estimate based on partial data,0.036,0.037
Indiana,10/25/20,estimate based on partial data,0.037,0.037
Indiana,10/26/20,estimate based on partial data,0.037,0.038
Indiana,10/27/20,estimate based on partial data,0.037,0.038
Indiana,10/28/20,estimate based on partial data,0.037,0.039
Indiana,10/29/20,estimate based on partial data,0.038,0.039
Indiana,10/30/20,estimate based on partial data,0.038,0.039
Indiana,10/31/20,forecast,0.038,0.039
Indiana,11/1/20,forecast,0.038,0.039
Indiana,11/2/20,forecast,0.038,0.039
Indiana,11/3/20,forecast,0.038,0.039
Indiana,11/4/20,forecast,0.038,0.039
Indiana,11/5/20,forecast,0.038,0.039
Indiana,11/6/20,forecast,0.038,0.039
Indiana,11/7/20,forecast,0.038,0.039
Indiana,11/8/20,forecast,0.038,0.039
Indiana,11/9/20,forecast,0.038,0.039
Indiana,11/10/20,forecast,0.038,0.039
Indiana,11/11/20,forecast,0.038,0.039
Indiana,11/12/20,forecast,0.038,0.039
Indiana,11/13/20,forecast,0.038,0.039
Iowa,8/25/20,estimate,-0.008,-0.008
Iowa,8/26/20,estimate,-0.013,-0.013
Iowa,8/27/20,estimate,-0.018,-0.018
Iowa,8/28/20,estimate,-0.021,-0.022
Iowa,8/29/20,estimate,-0.024,-0.024
Iowa,8/30/20,estimate,-0.025,-0.026
Iowa,8/31/20,estimate,-0.026,-0.026
Iowa,9/1/20,estimate,-0.025,-0.025
Iowa,9/2/20,estimate,-0.024,-0.024
Iowa,9/3/20,estimate,-0.021,-0.021
Iowa,9/4/20,estimate,-0.018,-0.018
Iowa,9/5/20,estimate,-0.014,-0.014
Iowa,9/6/20,estimate,-0.01,-0.01
Iowa,9/7/20,estimate,-0.006,-0.006
Iowa,9/8/20,estimate,-0.001,-0.001
Iowa,9/9/20,estimate,0.003,0.004
Iowa,9/10/20,estimate,0.007,0.008
Iowa,9/11/20,estimate,0.011,0.012
Iowa,9/12/20,estimate,0.015,0.016
Iowa,9/13/20,estimate,0.018,0.019
Iowa,9/14/20,estimate,0.02,0.021
Iowa,9/15/20,estimate,0.022,0.023
Iowa,9/16/20,estimate,0.023,0.023
Iowa,9/17/20,estimate,0.023,0.023
Iowa,9/18/20,estimate,0.022,0.023
Iowa,9/19/20,estimate,0.021,0.021
Iowa,9/20/20,estimate,0.019,0.02
Iowa,9/21/20,estimate,0.017,0.017
Iowa,9/22/20,estimate,0.015,0.015
Iowa,9/23/20,estimate,0.012,0.012
Iowa,9/24/20,estimate,0.01,0.01
Iowa,9/25/20,estimate,0.008,0.007
Iowa,9/26/20,estimate,0.005,0.005
Iowa,9/27/20,estimate,0.004,0.003
Iowa,9/28/20,estimate,0.002,0.002
Iowa,9/29/20,estimate,0.002,0.001
Iowa,9/30/20,estimate,0.001,0.001
Iowa,10/1/20,estimate,0.001,0.001
Iowa,10/2/20,estimate,0.002,0.001
Iowa,10/3/20,estimate,0.003,0.003
Iowa,10/4/20,estimate,0.005,0.004
Iowa,10/5/20,estimate,0.007,0.007
Iowa,10/6/20,estimate,0.01,0.009
Iowa,10/7/20,estimate,0.012,0.012
Iowa,10/8/20,estimate,0.016,0.016
Iowa,10/9/20,estimate,0.019,0.019
Iowa,10/10/20,estimate,0.023,0.023
Iowa,10/11/20,estimate,0.027,0.027
Iowa,10/12/20,estimate,0.031,0.031
Iowa,10/13/20,estimate,0.035,0.035
Iowa,10/14/20,estimate,0.038,0.039
Iowa,10/15/20,estimate,0.042,0.042
Iowa,10/16/20,estimate,0.045,0.046
Iowa,10/17/20,estimate,0.049,0.049
Iowa,10/18/20,estimate,0.052,0.052
Iowa,10/19/20,estimate,0.055,0.055
Iowa,10/20/20,estimate,0.058,0.058
Iowa,10/21/20,estimate,0.061,0.061
Iowa,10/22/20,estimate,0.063,0.063
Iowa,10/23/20,estimate,0.065,0.066
Iowa,10/24/20,estimate based on partial data,0.068,0.068
Iowa,10/25/20,estimate based on partial data,0.069,0.07
Iowa,10/26/20,estimate based on partial data,0.071,0.072
Iowa,10/27/20,estimate based on partial data,0.072,0.074
Iowa,10/28/20,estimate based on partial data,0.074,0.075
Iowa,10/29/20,estimate based on partial data,0.075,0.077
Iowa,10/30/20,estimate based on partial data,0.076,0.079
Iowa,10/31/20,estimate based on partial data,0.077,0.08
Iowa,11/1/20,estimate based on partial data,0.077,0.081
Iowa,11/2/20,estimate based on partial data,0.078,0.083
Iowa,11/3/20,estimate based on partial data,0.078,0.084
Iowa,11/4/20,forecast,0.078,0.084
Iowa,11/5/20,forecast,0.078,0.084
Iowa,11/6/20,forecast,0.078,0.084
Iowa,11/7/20,forecast,0.078,0.084
Iowa,11/8/20,forecast,0.078,0.084
Iowa,11/9/20,forecast,0.078,0.084
Iowa,11/10/20,forecast,0.078,0.084
Iowa,11/11/20,forecast,0.078,0.084
Iowa,11/12/20,forecast,0.078,0.084
Iowa,11/13/20,forecast,0.078,0.084
Iowa,11/14/20,forecast,0.078,0.084
Iowa,11/15/20,forecast,0.078,0.084
Iowa,11/16/20,forecast,0.078,0.084
Iowa,11/17/20,forecast,0.078,0.084
Kansas,8/25/20,estimate,0.003,-0.002
Kansas,8/26/20,estimate,0.002,-0.004
Kansas,8/27/20,estimate,0,-0.006
Kansas,8/28/20,estimate,-0.001,-0.007
Kansas,8/29/20,estimate,-0.002,-0.009
Kansas,8/30/20,estimate,-0.003,-0.01
Kansas,8/31/20,estimate,-0.004,-0.01
Kansas,9/1/20,estimate,-0.005,-0.01
Kansas,9/2/20,estimate,-0.005,-0.01
Kansas,9/3/20,estimate,-0.005,-0.01
Kansas,9/4/20,estimate,-0.005,-0.009
Kansas,9/5/20,estimate,-0.004,-0.008
Kansas,9/6/20,estimate,-0.004,-0.007
Kansas,9/7/20,estimate,-0.003,-0.006
Kansas,9/8/20,estimate,-0.001,-0.005
Kansas,9/9/20,estimate,0,-0.003
Kansas,9/10/20,estimate,0.001,-0.002
Kansas,9/11/20,estimate,0.002,0
Kansas,9/12/20,estimate,0.003,0.001
Kansas,9/13/20,estimate,0.004,0.003
Kansas,9/14/20,estimate,0.006,0.004
Kansas,9/15/20,estimate,0.006,0.006
Kansas,9/16/20,estimate,0.007,0.007
Kansas,9/17/20,estimate,0.008,0.008
Kansas,9/18/20,estimate,0.008,0.009
Kansas,9/19/20,estimate,0.009,0.01
Kansas,9/20/20,estimate,0.009,0.011
Kansas,9/21/20,estimate,0.01,0.012
Kansas,9/22/20,estimate,0.011,0.013
Kansas,9/23/20,estimate,0.011,0.013
Kansas,9/24/20,estimate,0.012,0.014
Kansas,9/25/20,estimate,0.012,0.014
Kansas,9/26/20,estimate,0.013,0.015
Kansas,9/27/20,estimate,0.013,0.015
Kansas,9/28/20,estimate,0.014,0.016
Kansas,9/29/20,estimate,0.014,0.016
Kansas,9/30/20,estimate,0.014,0.017
Kansas,10/1/20,estimate,0.015,0.017
Kansas,10/2/20,estimate,0.015,0.018
Kansas,10/3/20,estimate,0.015,0.018
Kansas,10/4/20,estimate,0.016,0.018
Kansas,10/5/20,estimate,0.016,0.018
Kansas,10/6/20,estimate,0.016,0.019
Kansas,10/7/20,estimate,0.017,0.019
Kansas,10/8/20,estimate,0.017,0.019
Kansas,10/9/20,estimate,0.017,0.019
Kansas,10/10/20,estimate,0.017,0.019
Kansas,10/11/20,estimate,0.017,0.019
Kansas,10/12/20,estimate,0.017,0.019
Kansas,10/13/20,estimate,0.017,0.019
Kansas,10/14/20,estimate,0.017,0.019
Kansas,10/15/20,estimate,0.017,0.019
Kansas,10/16/20,estimate,0.017,0.019
Kansas,10/17/20,estimate,0.017,0.019
Kansas,10/18/20,estimate,0.017,0.019
Kansas,10/19/20,estimate,0.017,0.018
Kansas,10/20/20,estimate,0.017,0.018
Kansas,10/21/20,estimate,0.017,0.018
Kansas,10/22/20,estimate,0.016,0.018
Kansas,10/23/20,estimate,0.016,0.018
Kansas,10/24/20,estimate based on partial data,0.016,0.019
Kansas,10/25/20,estimate based on partial data,0.016,0.019
Kansas,10/26/20,estimate based on partial data,0.016,0.019
Kansas,10/27/20,estimate based on partial data,0.016,0.019
Kansas,10/28/20,estimate based on partial data,0.016,0.02
Kansas,10/29/20,estimate based on partial data,0.016,0.02
Kansas,10/30/20,estimate based on partial data,0.016,0.021
Kansas,10/31/20,estimate based on partial data,0.016,0.021
Kansas,11/1/20,estimate based on partial data,0.016,0.022
Kansas,11/2/20,estimate based on partial data,0.016,0.022
Kansas,11/3/20,estimate based on partial data,0.016,0.023
Kansas,11/4/20,forecast,0.016,0.023
Kansas,11/5/20,forecast,0.016,0.023
Kansas,11/6/20,forecast,0.016,0.023
Kansas,11/7/20,forecast,0.016,0.023
Kansas,11/8/20,forecast,0.016,0.023
Kansas,11/9/20,forecast,0.016,0.023
Kansas,11/10/20,forecast,0.016,0.023
Kansas,11/11/20,forecast,0.016,0.023
Kansas,11/12/20,forecast,0.016,0.023
Kansas,11/13/20,forecast,0.016,0.023
Kansas,11/14/20,forecast,0.016,0.023
Kansas,11/15/20,forecast,0.016,0.023
Kansas,11/16/20,forecast,0.016,0.023
Kansas,11/17/20,forecast,0.016,0.023
Kentucky,8/25/20,estimate,0.003,0.003
Kentucky,8/26/20,estimate,0.003,0.002
Kentucky,8/27/20,estimate,0.002,0.001
Kentucky,8/28/20,estimate,0.002,0.001
Kentucky,8/29/20,estimate,0.001,0
Kentucky,8/30/20,estimate,0.001,0
Kentucky,8/31/20,estimate,0,-0.001
Kentucky,9/1/20,estimate,0,-0.001
Kentucky,9/2/20,estimate,0,-0.001
Kentucky,9/3/20,estimate,0,-0.001
Kentucky,9/4/20,estimate,0,-0.001
Kentucky,9/5/20,estimate,0,-0.001
Kentucky,9/6/20,estimate,0.001,0
Kentucky,9/7/20,estimate,0.001,0
Kentucky,9/8/20,estimate,0.002,0.001
Kentucky,9/9/20,estimate,0.002,0.002
Kentucky,9/10/20,estimate,0.003,0.002
Kentucky,9/11/20,estimate,0.004,0.003
Kentucky,9/12/20,estimate,0.004,0.004
Kentucky,9/13/20,estimate,0.005,0.005
Kentucky,9/14/20,estimate,0.006,0.006
Kentucky,9/15/20,estimate,0.007,0.007
Kentucky,9/16/20,estimate,0.008,0.008
Kentucky,9/17/20,estimate,0.009,0.009
Kentucky,9/18/20,estimate,0.01,0.01
Kentucky,9/19/20,estimate,0.011,0.011
Kentucky,9/20/20,estimate,0.012,0.012
Kentucky,9/21/20,estimate,0.013,0.013
Kentucky,9/22/20,estimate,0.014,0.014
Kentucky,9/23/20,estimate,0.014,0.015
Kentucky,9/24/20,estimate,0.015,0.015
Kentucky,9/25/20,estimate,0.016,0.016
Kentucky,9/26/20,estimate,0.017,0.017
Kentucky,9/27/20,estimate,0.018,0.018
Kentucky,9/28/20,estimate,0.019,0.019
Kentucky,9/29/20,estimate,0.019,0.019
Kentucky,9/30/20,estimate,0.02,0.02
Kentucky,10/1/20,estimate,0.021,0.021
Kentucky,10/2/20,estimate,0.022,0.022
Kentucky,10/3/20,estimate,0.022,0.023
Kentucky,10/4/20,estimate,0.023,0.024
Kentucky,10/5/20,estimate,0.024,0.024
Kentucky,10/6/20,estimate,0.025,0.025
Kentucky,10/7/20,estimate,0.026,0.026
Kentucky,10/8/20,estimate,0.026,0.027
Kentucky,10/9/20,estimate,0.027,0.028
Kentucky,10/10/20,estimate,0.028,0.028
Kentucky,10/11/20,estimate,0.029,0.029
Kentucky,10/12/20,estimate,0.029,0.03
Kentucky,10/13/20,estimate,0.03,0.03
Kentucky,10/14/20,estimate,0.03,0.031
Kentucky,10/15/20,estimate,0.03,0.031
Kentucky,10/16/20,estimate,0.031,0.031
Kentucky,10/17/20,estimate,0.031,0.032
Kentucky,10/18/20,estimate,0.031,0.032
Kentucky,10/19/20,estimate,0.031,0.032
Kentucky,10/20/20,estimate,0.031,0.032
Kentucky,10/21/20,estimate,0.031,0.032
Kentucky,10/22/20,estimate,0.031,0.031
Kentucky,10/23/20,estimate,0.031,0.031
Kentucky,10/24/20,estimate based on partial data,0.031,0.031
Kentucky,10/25/20,estimate based on partial data,0.031,0.031
Kentucky,10/26/20,estimate based on partial data,0.03,0.031
Kentucky,10/27/20,estimate based on partial data,0.03,0.03
Kentucky,10/28/20,estimate based on partial data,0.03,0.03
Kentucky,10/29/20,estimate based on partial data,0.03,0.03
Kentucky,10/30/20,estimate based on partial data,0.03,0.03
Kentucky,10/31/20,estimate based on partial data,0.03,0.03
Kentucky,11/1/20,estimate based on partial data,0.03,0.03
Kentucky,11/2/20,estimate based on partial data,0.03,0.03
Kentucky,11/3/20,estimate based on partial data,0.03,0.03
Kentucky,11/4/20,forecast,0.03,0.03
Kentucky,11/5/20,forecast,0.03,0.03
Kentucky,11/6/20,forecast,0.03,0.03
Kentucky,11/7/20,forecast,0.03,0.03
Kentucky,11/8/20,forecast,0.03,0.03
Kentucky,11/9/20,forecast,0.03,0.03
Kentucky,11/10/20,forecast,0.03,0.03
Kentucky,11/11/20,forecast,0.03,0.03
Kentucky,11/12/20,forecast,0.03,0.03
Kentucky,11/13/20,forecast,0.03,0.03
Kentucky,11/14/20,forecast,0.03,0.03
Kentucky,11/15/20,forecast,0.03,0.03
Kentucky,11/16/20,forecast,0.03,0.03
Kentucky,11/17/20,forecast,0.03,0.03
Louisiana,8/21/20,estimate,-0.014,-0.015
Louisiana,8/22/20,estimate,-0.014,-0.015
Louisiana,8/23/20,estimate,-0.014,-0.014
Louisiana,8/24/20,estimate,-0.014,-0.014
Louisiana,8/25/20,estimate,-0.014,-0.014
Louisiana,8/26/20,estimate,-0.013,-0.014
Louisiana,8/27/20,estimate,-0.013,-0.014
Louisiana,8/28/20,estimate,-0.013,-0.013
Louisiana,8/29/20,estimate,-0.013,-0.013
Louisiana,8/30/20,estimate,-0.012,-0.013
Louisiana,8/31/20,estimate,-0.012,-0.013
Louisiana,9/1/20,estimate,-0.012,-0.012
Louisiana,9/2/20,estimate,-0.011,-0.012
Louisiana,9/3/20,estimate,-0.011,-0.012
Louisiana,9/4/20,estimate,-0.011,-0.011
Louisiana,9/5/20,estimate,-0.01,-0.011
Louisiana,9/6/20,estimate,-0.01,-0.01
Louisiana,9/7/20,estimate,-0.01,-0.01
Louisiana,9/8/20,estimate,-0.009,-0.01
Louisiana,9/9/20,estimate,-0.009,-0.009
Louisiana,9/10/20,estimate,-0.008,-0.009
Louisiana,9/11/20,estimate,-0.008,-0.008
Louisiana,9/12/20,estimate,-0.008,-0.008
Louisiana,9/13/20,estimate,-0.007,-0.007
Louisiana,9/14/20,estimate,-0.007,-0.007
Louisiana,9/15/20,estimate,-0.006,-0.006
Louisiana,9/16/20,estimate,-0.006,-0.006
Louisiana,9/17/20,estimate,-0.005,-0.005
Louisiana,9/18/20,estimate,-0.005,-0.005
Louisiana,9/19/20,estimate,-0.004,-0.004
Louisiana,9/20/20,estimate,-0.004,-0.003
Louisiana,9/21/20,estimate,-0.004,-0.003
Louisiana,9/22/20,estimate,-0.003,-0.002
Louisiana,9/23/20,estimate,-0.003,-0.002
Louisiana,9/24/20,estimate,-0.002,-0.001
Louisiana,9/25/20,estimate,-0.002,-0.001
Louisiana,9/26/20,estimate,-0.001,0
Louisiana,9/27/20,estimate,-0.001,0
Louisiana,9/28/20,estimate,-0.001,0.001
Louisiana,9/29/20,estimate,0,0.001
Louisiana,9/30/20,estimate,0,0.001
Louisiana,10/1/20,estimate,0.001,0.002
Louisiana,10/2/20,estimate,0.001,0.002
Louisiana,10/3/20,estimate,0.001,0.002
Louisiana,10/4/20,estimate,0.001,0.002
Louisiana,10/5/20,estimate,0.002,0.002
Louisiana,10/6/20,estimate,0.002,0.002
Louisiana,10/7/20,estimate,0.002,0.002
Louisiana,10/8/20,estimate,0.002,0.002
Louisiana,10/9/20,estimate,0.002,0.002
Louisiana,10/10/20,estimate,0.002,0.002
Louisiana,10/11/20,estimate,0.002,0.002
Louisiana,10/12/20,estimate,0.001,0.002
Louisiana,10/13/20,estimate,0.001,0.002
Louisiana,10/14/20,estimate,0.001,0.001
Louisiana,10/15/20,estimate,0.001,0.001
Louisiana,10/16/20,estimate,0,0.001
Louisiana,10/17/20,estimate,0,0
Louisiana,10/18/20,estimate,0,0
Louisiana,10/19/20,estimate,0,0
Louisiana,10/20/20,estimate based on partial data,-0.001,0
Louisiana,10/21/20,estimate based on partial data,-0.001,-0.001
Louisiana,10/22/20,estimate based on partial data,-0.001,-0.001
Louisiana,10/23/20,estimate based on partial data,-0.001,-0.001
Louisiana,10/24/20,estimate based on partial data,-0.001,-0.001
Louisiana,10/25/20,estimate based on partial data,-0.001,-0.001
Louisiana,10/26/20,estimate based on partial data,-0.001,-0.001
Louisiana,10/27/20,estimate based on partial data,-0.001,-0.002
Louisiana,10/28/20,estimate based on partial data,-0.001,-0.002
Louisiana,10/29/20,estimate based on partial data,-0.001,-0.002
Louisiana,10/30/20,estimate based on partial data,-0.001,-0.002
Louisiana,10/31/20,forecast,-0.001,-0.002
Louisiana,11/1/20,forecast,-0.001,-0.002
Louisiana,11/2/20,forecast,-0.001,-0.002
Louisiana,11/3/20,forecast,-0.001,-0.002
Louisiana,11/4/20,forecast,-0.001,-0.002
Louisiana,11/5/20,forecast,-0.001,-0.002
Louisiana,11/6/20,forecast,-0.001,-0.002
Louisiana,11/7/20,forecast,-0.001,-0.002
Louisiana,11/8/20,forecast,-0.001,-0.002
Louisiana,11/9/20,forecast,-0.001,-0.002
Louisiana,11/10/20,forecast,-0.001,-0.002
Louisiana,11/11/20,forecast,-0.001,-0.002
Louisiana,11/12/20,forecast,-0.001,-0.002
Louisiana,11/13/20,forecast,-0.001,-0.002
Maine,8/21/20,estimate,0.008,0.006
Maine,8/22/20,estimate,0.006,0.004
Maine,8/23/20,estimate,0.004,0.002
Maine,8/24/20,estimate,0.003,0.001
Maine,8/25/20,estimate,0.002,0
Maine,8/26/20,estimate,0.002,0
Maine,8/27/20,estimate,0.002,0
Maine,8/28/20,estimate,0.002,0.001
Maine,8/29/20,estimate,0.003,0.002
Maine,8/30/20,estimate,0.004,0.003
Maine,8/31/20,estimate,0.005,0.005
Maine,9/1/20,estimate,0.007,0.007
Maine,9/2/20,estimate,0.008,0.008
Maine,9/3/20,estimate,0.009,0.01
Maine,9/4/20,estimate,0.011,0.011
Maine,9/5/20,estimate,0.012,0.013
Maine,9/6/20,estimate,0.013,0.014
Maine,9/7/20,estimate,0.014,0.015
Maine,9/8/20,estimate,0.015,0.016
Maine,9/9/20,estimate,0.015,0.016
Maine,9/10/20,estimate,0.015,0.016
Maine,9/11/20,estimate,0.015,0.016
Maine,9/12/20,estimate,0.014,0.015
Maine,9/13/20,estimate,0.013,0.014
Maine,9/14/20,estimate,0.012,0.013
Maine,9/15/20,estimate,0.011,0.012
Maine,9/16/20,estimate,0.009,0.01
Maine,9/17/20,estimate,0.007,0.008
Maine,9/18/20,estimate,0.006,0.006
Maine,9/19/20,estimate,0.004,0.004
Maine,9/20/20,estimate,0.002,0.002
Maine,9/21/20,estimate,0,-0.001
Maine,9/22/20,estimate,-0.002,-0.003
Maine,9/23/20,estimate,-0.004,-0.004
Maine,9/24/20,estimate,-0.006,-0.006
Maine,9/25/20,estimate,-0.007,-0.008
Maine,9/26/20,estimate,-0.008,-0.009
Maine,9/27/20,estimate,-0.009,-0.01
Maine,9/28/20,estimate,-0.01,-0.01
Maine,9/29/20,estimate,-0.01,-0.01
Maine,9/30/20,estimate,-0.009,-0.01
Maine,10/1/20,estimate,-0.008,-0.009
Maine,10/2/20,estimate,-0.007,-0.008
Maine,10/3/20,estimate,-0.005,-0.006
Maine,10/4/20,estimate,-0.003,-0.004
Maine,10/5/20,estimate,0,-0.001
Maine,10/6/20,estimate,0.003,0.002
Maine,10/7/20,estimate,0.007,0.006
Maine,10/8/20,estimate,0.011,0.01
Maine,10/9/20,estimate,0.016,0.015
Maine,10/10/20,estimate,0.021,0.02
Maine,10/11/20,estimate,0.026,0.025
Maine,10/12/20,estimate,0.031,0.031
Maine,10/13/20,estimate,0.037,0.037
Maine,10/14/20,estimate,0.043,0.043
Maine,10/15/20,estimate,0.05,0.05
Maine,10/16/20,estimate,0.056,0.056
Maine,10/17/20,estimate,0.062,0.063
Maine,10/18/20,estimate,0.068,0.069
Maine,10/19/20,estimate,0.074,0.075
Maine,10/20/20,estimate based on partial data,0.08,0.081
Maine,10/21/20,estimate based on partial data,0.085,0.086
Maine,10/22/20,estimate based on partial data,0.089,0.091
Maine,10/23/20,estimate based on partial data,0.093,0.096
Maine,10/24/20,estimate based on partial data,0.095,0.1
Maine,10/25/20,estimate based on partial data,0.097,0.103
Maine,10/26/20,estimate based on partial data,0.099,0.106
Maine,10/27/20,estimate based on partial data,0.1,0.108
Maine,10/28/20,estimate based on partial data,0.1,0.11
Maine,10/29/20,estimate based on partial data,0.101,0.112
Maine,10/30/20,estimate based on partial data,0.1,0.113
Maine,10/31/20,forecast,0.1,0.113
Maine,11/1/20,forecast,0.1,0.113
Maine,11/2/20,forecast,0.1,0.113
Maine,11/3/20,forecast,0.1,0.113
Maine,11/4/20,forecast,0.1,0.113
Maine,11/5/20,forecast,0.1,0.113
Maine,11/6/20,forecast,0.1,0.113
Maine,11/7/20,forecast,0.1,0.113
